指标,数值
抽样总数,100.0
已复核数量,100.0
待复核数量,0.0
人工确认相似数量,100.0
人工判断不相似数量,0.0
人工判断不确定数量,0.0
人工确认率,1.0
人工否定率,0.0
人工不确定率,0.0
平均模型相似度,0.9996
平均基础相似度,0.9398
